location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,numInCount
361,1,34,32,"1,31,32,34",3,1,1,76.0,Azerbaijan,Azerbaijan,Azerbaijan,2,admin0,AZE,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,AZE,AZE,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Azerbaijan,0
361,1,35,32,"1,31,32,35",3,1,1,77.0,Georgia,Georgia,Georgia,2,admin0,GEO,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,GEO,GEO,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Georgia,0
361,1,36,32,"1,31,32,36",3,1,1,78.0,Kazakhstan,Kazakhstan,Kazakhstan,2,admin0,KAZ,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,KAZ,KAZ,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Kazakhstan,0
361,1,37,32,"1,31,32,37",3,1,1,79.0,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,2,admin0,KGZ,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,KGZ,KGZ,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Kyrgyzstan,0
361,1,38,32,"1,31,32,38",3,1,1,80.0,Mongolia,Mongolia,Mongolia,2,admin0,MNG,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,MNG,MNG,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Mongolia,0
361,1,39,32,"1,31,32,39",3,1,1,81.0,Tajikistan,Tajikistan,Tajikistan,2,admin0,TJK,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,TJK,TJK,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Tajikistan,0
361,1,40,32,"1,31,32,40",3,1,1,82.0,Turkmenistan,Turkmenistan,Turkmenistan,2,admin0,TKM,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,TKM,TKM,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Turkmenistan,0
361,1,41,32,"1,31,32,41",3,1,1,83.0,Uzbekistan,Uzbekistan,Uzbekistan,2,admin0,UZB,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,UZB,UZB,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Uzbekistan,0
361,1,125,124,"1,103,124,125",3,1,1,86.0,Colombia,Colombia,Colombia,2,admin0,COL,103.0,Latin America and Caribbean,124.0,Central Latin America,COL,COL,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Colombia,0
361,1,126,124,"1,103,124,126",3,1,1,87.0,Costa Rica,Costa Rica,Costa Rica,2,admin0,CRI,103.0,Latin America and Caribbean,124.0,Central Latin America,CRI,CRI,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Costa Rica,0
361,1,127,124,"1,103,124,127",3,1,1,88.0,El Salvador,El Salvador,El Salvador,2,admin0,SLV,103.0,Latin America and Caribbean,124.0,Central Latin America,SLV,SLV,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,El Salvador,0
361,1,128,124,"1,103,124,128",3,1,1,89.0,Guatemala,Guatemala,Guatemala,2,admin0,GTM,103.0,Latin America and Caribbean,124.0,Central Latin America,GTM,GTM,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Guatemala,0
361,1,129,124,"1,103,124,129",3,1,1,90.0,Honduras,Honduras,Honduras,2,admin0,HND,103.0,Latin America and Caribbean,124.0,Central Latin America,HND,HND,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Honduras,0
361,1,130,124,"1,103,124,130",3,0,0,91.0,Mexico,Mexico,Mexico,2,admin0,MEX,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX,MEX,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Mexico,7
361,1,131,124,"1,103,124,131",3,1,1,92.0,Nicaragua,Nicaragua,Nicaragua,2,admin0,NIC,103.0,Latin America and Caribbean,124.0,Central Latin America,NIC,NIC,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Nicaragua,0
361,1,132,124,"1,103,124,132",3,1,1,93.0,Panama,Panama,Panama,2,admin0,PAN,103.0,Latin America and Caribbean,124.0,Central Latin America,PAN,PAN,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Panama,0
361,1,133,124,"1,103,124,133",3,1,1,94.0,Venezuela,Venezuela,Venezuela,2,admin0,VEN,103.0,Latin America and Caribbean,124.0,Central Latin America,VEN,VEN,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Venezuela,0
361,1,121,120,"1,103,120,121",3,1,1,96.0,Bolivia,Bolivia,Bolivia,2,admin0,BOL,103.0,Latin America and Caribbean,120.0,Andean Latin America,BOL,BOL,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Bolivia,0
361,1,122,120,"1,103,120,122",3,1,1,97.0,Ecuador,Ecuador,Ecuador,2,admin0,ECU,103.0,Latin America and Caribbean,120.0,Andean Latin America,ECU,ECU,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Ecuador,0
361,1,123,120,"1,103,120,123",3,1,1,98.0,Peru,Peru,Peru,2,admin0,PER,103.0,Latin America and Caribbean,120.0,Andean Latin America,PER,PER,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Peru,0
361,1,105,104,"1,103,104,105",3,1,1,100.0,Antigua and Barbuda,Antigua and Barbuda,Antigua,2,admin0,ATG,103.0,Latin America and Caribbean,104.0,Caribbean,ATG,ATG,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Antigua and Barbuda,0
361,1,106,104,"1,103,104,106",3,1,1,101.0,The Bahamas,The Bahamas,Bahamas,2,admin0,BHS,103.0,Latin America and Caribbean,104.0,Caribbean,BHS,BHS,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,The Bahamas,0
361,1,107,104,"1,103,104,107",3,1,1,102.0,Barbados,Barbados,Barbados,2,admin0,BRB,103.0,Latin America and Caribbean,104.0,Caribbean,BRB,BRB,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Barbados,0
361,1,108,104,"1,103,104,108",3,1,1,103.0,Belize,Belize,Belize,2,admin0,BLZ,103.0,Latin America and Caribbean,104.0,Caribbean,BLZ,BLZ,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Belize,0
361,1,305,104,"1,103,104,305",3,1,1,104.0,Bermuda,Bermuda,Bermuda,8,nonsovereign,,103.0,Latin America and Caribbean,104.0,Caribbean,BMU,BMU,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Bermuda,0
361,1,109,104,"1,103,104,109",3,1,1,105.0,Cuba,Cuba,Cuba,2,admin0,CUB,103.0,Latin America and Caribbean,104.0,Caribbean,CUB,CUB,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Cuba,0
361,1,110,104,"1,103,104,110",3,1,1,106.0,Dominica,Dominica,Dominica,2,admin0,DMA,103.0,Latin America and Caribbean,104.0,Caribbean,DMA,DMA,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Dominica,0
361,1,111,104,"1,103,104,111",3,1,1,107.0,Dominican Republic,Dominican Republic,Dominican Rep,2,admin0,DOM,103.0,Latin America and Caribbean,104.0,Caribbean,DOM,DOM,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Dominican Republic,0
361,1,112,104,"1,103,104,112",3,1,1,108.0,Grenada,Grenada,Grenada,2,admin0,GRD,103.0,Latin America and Caribbean,104.0,Caribbean,GRD,GRD,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Grenada,0
361,1,113,104,"1,103,104,113",3,1,1,109.0,Guyana,Guyana,Guyana,2,admin0,GUY,103.0,Latin America and Caribbean,104.0,Caribbean,GUY,GUY,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Guyana,0
361,1,114,104,"1,103,104,114",3,1,1,110.0,Haiti,Haiti,Haiti,2,admin0,HTI,103.0,Latin America and Caribbean,104.0,Caribbean,HTI,HTI,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Haiti,0
361,1,115,104,"1,103,104,115",3,1,1,111.0,Jamaica,Jamaica,Jamaica,2,admin0,JAM,103.0,Latin America and Caribbean,104.0,Caribbean,JAM,JAM,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Jamaica,0
361,1,385,104,"1,103,104,385",3,1,1,112.0,Puerto Rico,Puerto Rico,Puerto Rico,8,nonsovereign,,103.0,Latin America and Caribbean,104.0,Caribbean,PRI,PRI,1,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Puerto Rico,0
361,1,116,104,"1,103,104,116",3,1,1,113.0,Saint Lucia,Saint Lucia,St Lucia,2,admin0,LCA,103.0,Latin America and Caribbean,104.0,Caribbean,LCA,LCA,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Saint Lucia,0
361,1,117,104,"1,103,104,117",3,1,1,114.0,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St Vincent,2,admin0,VCT,103.0,Latin America and Caribbean,104.0,Caribbean,VCT,VCT,0,2018-06-15 00:00:00,,2018-06-08 09:49:57,2018-06-08 09:49:57,ferdid06,INSERT,Saint Vincent and the Grenadines,0
